idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp,build_idx,vitis_tool_runtime,latency_pred,bram_pred,sklearn_latency_infrence_time,sklearn_bram_infrence_time
194679,11,256,128,1,384,64,19,4,1,4,4,2,2,1,pna,True,12,24,1,0.00028686285,201,64,194679,441.8,284.84137350000003,197.71666666666664,0.0017326743333333332,0.0017187713333333332
195066,11,256,128,1,384,256,19,1,1,2,8,2,2,1,pna,True,12,24,1,0.00024643332,251,104,195066,314.52,248.45479650000007,256.0166666666667,0.0017384605555555556,0.0017230157777777778
195270,11,256,128,1,384,256,19,3,1,8,2,8,2,1,pna,True,12,24,1,0.00060564042,349,58,195270,373.77,596.199093,352.3,0.001712248888888889,0.0017377427777777777
196907,11,256,128,2,384,128,19,3,1,8,8,4,8,1,pna,True,12,24,1,0.00057781494,1273,474,196907,790.37,579.9460475000001,1273.0,0.0017177856666666669,0.0017285152222222223
196911,11,256,128,2,384,128,19,4,1,2,2,2,2,1,pna,True,12,24,1,0.00536735727,405,79,196911,591.08,5202.955114499994,401.6416666666667,0.001718353,0.0017244696666666667
198197,11,256,128,2,384,256,19,3,1,8,4,8,8,1,pna,False,12,24,1,0.00086872374,1021,426,198197,825.42,814.2516,989.65,0.00171748,0.0017199984444444445
19830,11,64,256,3,768,128,19,1,1,8,4,4,2,1,gcn,True,12,24,1,0.0002094669899999,341,270,19830,653.58,217.57624960708796,404.39285714285717,0.0017273802222222223,0.0017141196666666668
198520,11,256,128,3,384,64,19,3,1,8,4,8,4,1,pna,True,12,24,1,0.00144169686,1615,502,198520,966.77,1406.770155,1625.6333333333334,0.0017310452222222222,0.0017195647777777778
198707,11,256,128,3,384,128,19,2,1,2,4,4,8,1,pna,True,12,24,1,0.01185515631,679,210,198707,744.84,11855.156310000002,681.9033333333333,0.0017169322222222222,0.001729398111111111
200399,11,256,128,4,384,64,19,3,1,2,2,4,8,1,pna,True,12,24,1,0.02271637422,859,287,200399,814.46,22716.374219999998,850.9833333333332,0.0017242252222222222,0.0017321097777777779
201752,11,256,128,4,384,128,19,3,1,8,2,8,8,1,pna,False,12,24,1,0.00259122618,2437,814,201752,1427.5,2591.2261800000006,2435.25,0.0017170005555555555,0.0017196932222222222
201799,11,256,128,4,384,128,19,4,1,4,2,2,4,1,pna,False,12,24,1,0.0071658569699999,1425,281,201799,1069.21,7165.856969999901,1426.5333333333333,0.0017227454444444445,0.001717750888888889
201979,11,256,128,4,384,256,19,2,1,4,8,2,4,1,pna,False,12,24,1,0.00556565211,1685,332,201979,923.61,5565.652110000001,1685.0,0.001729671,0.0017118004444444444
20259,11,64,256,3,768,256,19,3,1,2,4,2,2,1,gcn,True,12,24,1,0.00056699577,301,184,20259,591.33,549.9624314999999,351.21280830280836,0.001733559888888889,0.001713009
203432,11,256,256,1,768,64,19,4,1,4,4,4,8,1,pna,False,12,24,1,0.00047159793,501,278,203432,509.27,471.59793,501.0,0.0017149124444444444,0.0017349504444444444
203760,11,256,256,1,768,128,19,4,1,4,8,2,2,1,pna,False,12,24,1,0.00040664295,343,116,203760,428.95,406.64295,343.0,0.0017195324444444445,0.0017330483333333332
20400,11,64,256,3,768,256,19,4,1,8,4,8,2,1,gcn,True,12,24,1,0.00040653639,537,290,20400,737.85,376.38873876922577,495.2500000000001,0.001717530888888889,0.0017199453333333332
205106,11,256,256,2,768,64,19,1,1,2,4,4,8,1,pna,False,12,24,1,0.0052908705,479,117,205106,473.04,5164.7117294999925,475.575,0.0017118594444444444,0.001717119
205141,11,256,256,2,768,64,19,1,1,4,8,4,4,1,pna,False,12,24,1,0.00161600238,815,195,205141,534.59,1616.0023800000001,807.7,0.0017317344444444445,0.001714163888888889
205151,11,256,256,2,768,64,19,1,1,8,2,4,8,1,pna,False,12,24,1,0.00252499914,707,238,205151,525.18,2524.99914,729.6666666666667,0.001731376111111111,0.0017200143333333333
20645,11,64,256,3,768,64,19,3,1,8,4,8,8,1,gcn,False,12,24,1,0.00016784532,495,460,20645,725.68,190.55376945908841,489.675,0.0017227507777777778,0.0017276837777777778
206468,11,256,256,3,768,128,19,1,1,8,8,8,8,1,pna,True,12,24,1,0.00145847673,2009,586,206468,1053.44,1439.472087,2009.0,0.001717144,0.0017319192222222223
20665,11,64,256,3,768,64,19,4,1,2,4,2,4,1,gcn,False,12,24,1,0.0002927736,303,230,20665,646.81,338.8224051,318.1710317460318,0.001722470888888889,0.0017198517777777778
206984,11,256,256,3,768,256,19,4,1,4,2,2,8,1,pna,True,12,24,1,0.00715234383,1281,372,206984,948.53,7152.34383,1293.1333333333334,0.001721700888888889,0.0017195202222222222
