idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp
277596,11,256,256,3,768,128,19,4,1,2,4,2,2,1,sage,False,12,24,1,0.0014022363600000001,476,56
277771,11,256,256,3,768,256,19,2,1,2,8,4,4,1,sage,False,12,24,1,0.00115419132,594,90
279216,11,256,256,4,768,64,19,4,1,2,4,2,2,1,sage,False,12,24,1,0.00204060735,534,64
30435,11,128,64,4,192,64,19,4,1,8,2,8,2,1,gcn,False,12,24,1,0.00022464513,372,216
32003,11,128,128,1,384,256,19,4,1,2,2,8,8,1,gcn,True,12,24,1,0.00013972014,453,288
32026,11,128,128,1,384,256,19,4,1,4,2,4,4,1,gcn,True,12,24,1,0.0001910421,441,92
32063,11,128,128,1,384,256,19,4,1,8,4,4,8,1,gcn,True,12,24,1,0.00011755566,461,258
32606,11,128,128,1,384,128,19,3,1,4,4,8,8,1,gcn,False,12,24,1,8.788203e-05,319,226
32652,11,128,128,1,384,128,19,4,1,2,4,2,2,1,gcn,False,12,24,1,0.00017599716000000001,191,44
33021,11,128,128,1,384,256,19,4,1,8,2,2,2,1,gcn,False,12,24,1,0.00038613347999999996,255,42
33479,11,128,128,2,384,128,19,2,1,2,8,8,8,1,gcn,True,12,24,1,0.00016808841,291,180
33494,11,128,128,2,384,128,19,2,1,4,4,4,8,1,gcn,True,12,24,1,0.00015253064999999998,295,150
34516,11,128,128,2,384,128,19,3,1,2,4,2,4,1,gcn,False,12,24,1,0.000243756,251,80
34788,11,128,128,2,384,256,19,2,1,4,4,4,2,1,gcn,False,12,24,1,0.00026041599,259,60
34791,11,128,128,2,384,256,19,2,1,4,4,8,2,1,gcn,False,12,24,1,0.00024166143,319,68
36220,11,128,128,3,384,64,19,4,1,2,4,4,4,1,gcn,False,12,24,1,0.0004191138,279,112
36702,11,128,128,3,384,256,19,2,1,2,4,2,2,1,gcn,False,12,24,1,0.0005644483200000001,265,54
36,11,64,64,1,192,64,19,1,1,4,4,2,2,1,gcn,True,12,24,1,6.630363000000001e-05,108,32
37152,11,128,128,4,384,64,19,3,1,8,2,2,2,1,gcn,True,12,24,1,0.0002864133,391,200
37733,11,128,128,4,384,256,19,2,1,8,4,4,8,1,gcn,True,12,24,1,0.00023623353,583,306
38662,11,128,128,4,384,256,19,2,1,2,8,8,4,1,gcn,False,12,24,1,0.0005966660700000001,435,112
38795,11,128,128,4,384,256,19,3,1,8,8,4,8,1,gcn,False,12,24,1,0.00024290685,689,402
4116,11,64,64,3,192,64,19,3,1,8,4,4,2,1,gcn,True,12,24,1,0.00010902086999999999,286,278
41457,11,128,256,2,768,128,19,4,1,8,4,4,2,1,gcn,True,12,24,1,0.00027400239000000004,303,88
42073,11,128,256,2,768,64,19,4,1,4,2,8,4,1,gcn,False,12,24,1,0.00034205760000000004,299,122
42176,11,128,256,2,768,128,19,1,1,8,2,2,8,1,gcn,False,12,24,1,0.00027796176,315,74
42322,11,128,256,2,768,128,19,3,1,4,4,4,4,1,gcn,False,12,24,1,0.00025292682000000003,345,98
42648,11,128,256,2,768,256,19,3,1,4,4,8,2,1,gcn,False,12,24,1,0.00039857103,391,72
