model,fpga_par_speedup_over_pyg_cpu,fpga_par_speedup_over_pyg_gpu,fpga_par_speedup_over_cpp_cpu
gcn,4.0769579924351,4.992233839465099,1.9278738770763637
gin,2.8039117295295735,3.0563950351950893,2.0569241808179863
pna,3.1417885323414847,3.233313865318371,10.381748857647091
sage,3.295833006530045,3.862956742699979,4.451006029239812
geomean,3.298455890535937,3.7155065284190743,3.6792254519295704
