runtime_type,model,dataset,runtime
cpp_cpu,gcn,esol,1.15371
cpp_cpu,gcn,freesolv,0.7570180000000001
cpp_cpu,gcn,hiv,1.81363
cpp_cpu,gcn,lipo,2.28544
cpp_cpu,gcn,qm9,1.0816700000000001
cpp_cpu,gin,esol,1.21471
cpp_cpu,gin,freesolv,0.808986
cpp_cpu,gin,hiv,1.8934799999999998
cpp_cpu,gin,lipo,2.4356400000000002
cpp_cpu,gin,qm9,1.1193799999999998
cpp_cpu,pna,esol,20.9065
cpp_cpu,pna,freesolv,13.4164
cpp_cpu,pna,hiv,33.2052
cpp_cpu,pna,lipo,42.8475
cpp_cpu,pna,qm9,19.0741
cpp_cpu,sage,esol,2.2936900000000002
cpp_cpu,sage,freesolv,1.5247
cpp_cpu,sage,hiv,3.4311599999999998
cpp_cpu,sage,lipo,4.60505
cpp_cpu,sage,qm9,2.07287
fpga_base,gcn,esol,3.8897796600000003
fpga_base,gcn,freesolv,2.6327313
fpga_base,gcn,hiv,6.08978412
fpga_base,gcn,lipo,8.91815292
fpga_base,gcn,qm9,3.8127301200000003
fpga_base,gin,esol,4.36941954
fpga_base,gin,freesolv,2.95249122
fpga_base,gin,hiv,6.8492139299999995
fpga_base,gin,lipo,10.03731264
fpga_base,gin,qm9,4.3301322
fpga_base,pna,esol,57.3064695
fpga_base,pna,freesolv,38.24385786
fpga_base,pna,hiv,90.6662097
fpga_base,pna,lipo,133.55709588
fpga_base,pna,qm9,50.557059
fpga_base,sage,esol,6.83822826
fpga_base,sage,freesolv,4.5983637
fpga_base,sage,hiv,10.758161070000002
fpga_base,sage,lipo,15.797866319999999
fpga_base,sage,qm9,6.8673924
fpga_par,gcn,esol,0.57866742
fpga_par,gcn,freesolv,0.3963699
fpga_par,gcn,hiv,0.8976914100000001
fpga_par,gcn,lipo,1.30803732
fpga_par,gcn,qm9,0.49762188
fpga_par,gin,hiv,0.8773817399999999
fpga_par,gin,esol,0.56584026
fpga_par,gin,freesolv,0.38781846000000003
fpga_par,gin,lipo,1.2781072800000002
fpga_par,gin,qm9,0.52355592
fpga_par,pna,esol,1.9364283000000002
fpga_par,pna,freesolv,1.30154382
fpga_par,pna,hiv,3.0474794700000003
fpga_par,pna,lipo,4.47614604
fpga_par,pna,qm9,1.70737092
fpga_par,sage,esol,0.49071546
fpga_par,sage,freesolv,0.33773526000000004
fpga_par,sage,hiv,0.75843414
fpga_par,sage,lipo,1.10281608
fpga_par,sage,qm9,0.43936020000000003
pyg_cpu,gcn,esol,2.9784648810513317
pyg_cpu,gcn,freesolv,2.933736188399585
pyg_cpu,gcn,hiv,3.050172674516216
pyg_cpu,gcn,lipo,3.0857108326395974
pyg_cpu,gcn,qm9,2.948548493883572
pyg_cpu,gin,esol,2.0099032128462566
pyg_cpu,gin,freesolv,1.9930612503310132
pyg_cpu,gin,hiv,2.0681598025374113
pyg_cpu,gin,lipo,2.1052973677869886
pyg_cpu,gin,qm9,2.009358768677339
pyg_cpu,pna,esol,7.603927660221234
pyg_cpu,pna,freesolv,7.051559108290589
pyg_cpu,pna,hiv,8.280660320958123
pyg_cpu,pna,lipo,8.834144287323578
pyg_cpu,pna,qm9,7.40457102372311
pyg_cpu,sage,esol,2.044453297974542
pyg_cpu,sage,freesolv,2.006761970127587
pyg_cpu,sage,hiv,2.090701945289038
pyg_cpu,sage,lipo,2.136377741838805
pyg_cpu,sage,qm9,2.0345680294325574
pyg_gpu,gcn,esol,3.6654818550916386
pyg_gpu,gcn,freesolv,3.67023643632811
pyg_gpu,gcn,hiv,3.7122530366759747
pyg_gpu,gcn,lipo,3.6889860728988424
pyg_gpu,gcn,qm9,3.626415297831409
pyg_gpu,gin,esol,2.184077806118876
pyg_gpu,gin,freesolv,2.21754781911991
pyg_gpu,gin,hiv,2.2163542680675166
pyg_gpu,gin,lipo,2.2683142147492616
pyg_gpu,gin,qm9,2.2166833227034655
pyg_gpu,pna,esol,7.834155517700128
pyg_gpu,pna,freesolv,7.643555658485022
pyg_gpu,pna,hiv,8.236747862887569
pyg_gpu,pna,lipo,8.659192549134604
pyg_gpu,pna,qm9,7.942437310726384
pyg_gpu,sage,esol,2.3453672242583705
pyg_gpu,sage,freesolv,2.30806543966146
pyg_gpu,sage,hiv,2.4104811709607024
pyg_gpu,sage,lipo,2.6197472446132455
pyg_gpu,sage,qm9,2.403766749589704
