model,cpp_cpu,fpga_base,fpga_par,pyg_cpu,pyg_gpu
gcn,1.4167058,4.461902298,0.46677342599999994,3.016561097256648,3.5733044119731083
gin,1.490073,3.0971497500000003,0.351546768,2.044205374908996,2.1359357717461127
pna,25.87136,52.880617115999996,1.168512984,7.567609120188601,7.83268076313814
sage,2.779544,4.45506714,0.314539146,2.0704773953125444,2.252460104221851
